#{"t_start": 1744321262.6129818, "env_id": "None"}
r,l,t
50.11004,109,521.757834
42.560062,104,522.350316
163.84985,275,524.669254
166.61996,278,526.378171
229.9497,360,528.639809
48.38005,102,529.394241
72.760025,124,530.233862
413.49954,440,532.988931
49.540024,106,533.662047
162.21985,278,535.005934
40.910072,109,535.667248
43.120037,108,536.313825
49.280037,102,537.991686
405.78983,416,539.951905
109.72999,182,540.824063
179.90967,299,542.197848
167.25983,274,543.508722
185.65971,299,544.941974
42.36007,104,545.526888
166.49976,270,546.804059
234.46942,363,549.65058
391.72964,427,551.569879
42.91005,109,552.185067
49.69004,101,552.806895
167.86981,273,554.251694
412.45972,439,556.577225
227.0396,376,558.331657
162.37976,267,560.670444
415.78958,436,563.499894
413.29962,440,566.844768
169.9399,276,568.561883
219.4096,324,570.70272
233.78954,356,573.427777
98.92,173,575.461725
412.66977,433,578.482178
116.60987,209,580.021892
74.280014,132,580.963955
182.9097,299,583.129815
49.090034,101,583.856538
52.750046,100,584.624425
41.93006,107,585.532066
405.6699,418,588.241982
44.350037,105,589.073533
384.6897,401,592.492653
49.710037,99,593.218723
225.22961,357,595.368668
43.55005,105,596.027506
163.96985,273,598.159987
39.940063,106,598.975939
49.110046,99,599.76444
49.180023,112,600.675962
50.680016,112,601.645183
165.36984,273,603.462824
410.6298,432,607.483223
48.79001,111,608.385279
69.870026,123,609.204756
69.19004,121,610.065774
42.23007,107,610.941628
222.8397,366,613.420034
48.74003,106,614.2266
161.77985,272,615.934948
223.84964,365,618.694626
44.770035,103,619.454983
44.730026,107,621.246879
42.67006,103,621.989876
158.61978,278,623.696775
223.34952,365,626.075467
162.42986,277,627.958913
99.799965,190,629.140822
409.41962,438,632.491997
409.43964,456,637.310485
41.980064,112,638.338137
180.57974,302,640.083788
403.87982,427,642.565234
43.78004,102,643.364386
413.64972,440,646.466134
40.44007,106,647.356566
213.3096,324,649.269331
161.75986,274,652.044945
50.280037,102,652.732664
410.48962,436,656.315437
161.41989,278,658.539987
181.86972,293,661.130913
159.27979,272,663.180226
229.44955,365,665.325529
74.97001,133,666.208879
411.30957,434,669.835886
98.81001,174,671.047383
96.45999,169,672.099876
