#{"t_start": 1743710600.502121, "env_id": "None"}
r,l,t
395.34982,400,1356.033836
222.07962,327,1358.305157
168.21985,278,1360.346838
219.21957,323,1362.617139
170.17992,272,1364.807064
222.73961,331,1367.32475
221.82962,332,1372.605628
224.81958,333,1375.021586
76.88001,132,1376.405223
69.48001,122,1377.677684
223.5496,330,1380.122709
111.14999,180,1381.584739
70.68002,122,1382.718796
79.07001,133,1383.887652
220.11963,323,1386.643323
69.88003,122,1387.898044
217.23956,321,1393.646143
216.13965,321,1395.873587
224.40964,334,1398.224634
170.6698,268,1400.417471
216.32953,322,1402.689915
77.22002,138,1403.953844
219.20956,324,1406.417686
221.09961,325,1412.463215
78.44,136,1413.737649
70.88003,122,1415.195485
219.13962,321,1417.507807
112.64999,180,1419.38452
246.9897,371,1422.248355
225.59958,335,1424.98256
222.3595,329,1427.53182
221.62964,332,1435.742999
220.81964,323,1438.008834
169.6199,278,1441.053294
224.16959,328,1443.467964
170.26971,268,1445.715481
221.8096,324,1447.995611
169.96973,268,1453.813373
223.25957,329,1456.029201
217.82962,322,1458.245306
167.71986,278,1460.707909
220.51965,323,1463.163714
217.0296,322,1465.587684
173.06973,268,1468.199765
79.68003,132,1469.693004
169.53995,276,1475.961685
78.48004,132,1477.288962
223.2695,328,1479.802825
71.28003,122,1481.74815
171.3397,271,1483.71225
170.51993,278,1485.664099
171.26974,268,1487.57006
219.5296,322,1489.680694
171.16966,268,1495.90429
394.99976,400,1498.605626
70.18004,122,1499.8918
169.34988,275,1502.119032
79.28003,132,1503.423578
224.59966,335,1506.206636
222.5296,332,1508.787902
71.67004,123,1510.246329
170.26968,268,1515.805114
216.73956,321,1518.300772
77.58,132,1519.751742
220.10959,324,1523.024824
71.080025,122,1524.734374
244.2896,371,1527.686533
170.65991,274,1530.206537
76.28001,132,1531.818561
221.32954,332,1537.49187
111.049995,180,1539.347726
71.180046,122,1540.801921
224.03961,331,1543.358649
78.08002,132,1544.905735
111.549995,180,1547.458791
221.64967,340,1550.592528
76.280014,132,1552.160792
223.12949,332,1554.848875
247.63965,371,1561.894659
77.98003,132,1563.158888
394.34973,400,1566.22683
220.10962,324,1568.605953
220.37952,327,1571.206413
245.48969,371,1573.913125
392.59973,400,1581.875573
166.85991,274,1584.020076
244.9395,371,1586.926431
220.66951,328,1589.575608
218.79956,325,1592.099203
168.6697,268,1594.292184
